Name,Lead,Non-Lead,Unknown,total_points,known_points,pct_known_lead,pct_known_nonlead,pct_unknown,pct_known_lead_total,pct_known_nonlead_total
Ancarows Landing,0,117,88,205,117,0.0,1.0,0.4292682926829268,0.0,0.5707317073170731
Beaufont,0,76,392,468,76,0.0,1.0,0.8376068376068376,0.0,0.1623931623931624
Belle and Mayo Islands,0,1,20,21,1,0.0,1.0,0.9523809523809523,0.0,0.047619047619047616
Bellemeade,1,82,975,1058,83,0.012048192771084338,0.9879518072289156,0.9215500945179584,0.000945179584120983,0.07750472589792061
Bellevue,80,140,1114,1334,220,0.36363636363636365,0.6363636363636364,0.8350824587706147,0.05997001499250375,0.10494752623688156
Belmont Woods,0,98,56,154,98,0.0,1.0,0.36363636363636365,0.0,0.6363636363636364
Belt Center,0,43,289,332,43,0.0,1.0,0.8704819277108434,0.0,0.12951807228915663
Biotech and MCV District,0,87,44,131,87,0.0,1.0,0.33587786259541985,0.0,0.6641221374045801
Blackwell,4,240,643,887,244,0.01639344262295082,0.9836065573770492,0.7249154453213078,0.004509582863585118,0.2705749718151071
Brauers,19,16,212,247,35,0.5428571428571428,0.45714285714285713,0.8582995951417004,0.07692307692307693,0.06477732793522267
British Camp Farms,0,95,443,538,95,0.0,1.0,0.8234200743494424,0.0,0.17657992565055763
Broad Rock,63,19,461,543,82,0.7682926829268293,0.23170731707317074,0.848987108655617,0.11602209944751381,0.034990791896869246
Broad Rock Industrial Park,0,203,120,323,203,0.0,1.0,0.3715170278637771,0.0,0.628482972136223
Broad Rock Sports Complex,0,43,2,45,43,0.0,1.0,0.044444444444444446,0.0,0.9555555555555556
Brookbury,0,192,109,301,192,0.0,1.0,0.36212624584717606,0.0,0.6378737541528239
Brookhaven Farms,0,10,160,170,10,0.0,1.0,0.9411764705882353,0.0,0.058823529411764705
Brookland Park,44,66,760,870,110,0.4,0.6,0.8735632183908046,0.05057471264367816,0.07586206896551724
Bryan Park,0,7,23,30,7,0.0,1.0,0.7666666666666667,0.0,0.23333333333333334
Byrd Park,74,72,482,628,146,0.5068493150684932,0.4931506849315068,0.767515923566879,0.1178343949044586,0.11464968152866242
Capitol District,0,80,54,134,80,0.0,1.0,0.40298507462686567,0.0,0.5970149253731343
Carillon,13,76,370,459,89,0.14606741573033707,0.8539325842696629,0.8061002178649237,0.02832244008714597,0.1655773420479303
Carver,22,205,561,788,227,0.09691629955947137,0.9030837004405287,0.7119289340101523,0.027918781725888325,0.26015228426395937
Carytown,75,103,778,956,178,0.42134831460674155,0.5786516853932584,0.8138075313807531,0.07845188284518828,0.10774058577405858
Cedarhurst,0,186,673,859,186,0.0,1.0,0.7834691501746216,0.0,0.21653084982537835
Central Office,0,68,45,113,68,0.0,1.0,0.39823008849557523,0.0,0.6017699115044248
Chamberlayne Industrial Center,2,57,416,475,59,0.03389830508474576,0.9661016949152542,0.8757894736842106,0.004210526315789474,0.12
Cherry Gardens,0,33,65,98,33,0.0,1.0,0.6632653061224489,0.0,0.336734693877551
Chimborazo,17,92,581,690,109,0.1559633027522936,0.8440366972477065,0.8420289855072464,0.02463768115942029,0.13333333333333333
Chippenham Forest,0,47,241,288,47,0.0,1.0,0.8368055555555556,0.0,0.16319444444444445
Church Hill,72,208,1217,1497,280,0.2571428571428571,0.7428571428571429,0.8129592518370073,0.04809619238476954,0.13894455577822312
Church Hill North,23,397,916,1336,420,0.05476190476190476,0.9452380952380952,0.6856287425149701,0.01721556886227545,0.2971556886227545
City Center,0,120,229,349,120,0.0,1.0,0.6561604584527221,0.0,0.3438395415472779
Cofer,0,29,281,310,29,0.0,1.0,0.9064516129032258,0.0,0.0935483870967742
Colonial Place,21,92,855,968,113,0.18584070796460178,0.8141592920353983,0.8832644628099173,0.02169421487603306,0.09504132231404959
Commerce Road Industrial Area,0,247,172,419,247,0.0,1.0,0.4105011933174224,0.0,0.5894988066825776
Cottrell Farms,0,89,450,539,89,0.0,1.0,0.8348794063079777,0.0,0.16512059369202226
Country Club of Virginia,0,8,45,53,8,0.0,1.0,0.8490566037735849,0.0,0.1509433962264151
Creighton,0,13,458,471,13,0.0,1.0,0.9723991507430998,0.0,0.027600849256900213
Cullenwood,0,78,128,206,78,0.0,1.0,0.6213592233009708,0.0,0.3786407766990291
Davee Gardens,0,4,280,284,4,0.0,1.0,0.9859154929577465,0.0,0.014084507042253521
Deerbourne,0,23,322,345,23,0.0,1.0,0.9333333333333333,0.0,0.06666666666666667
Eastview,0,22,190,212,22,0.0,1.0,0.8962264150943396,0.0,0.10377358490566038
Edgewood,8,16,364,388,24,0.3333333333333333,0.6666666666666666,0.9381443298969072,0.020618556701030927,0.041237113402061855
Elkhardt,0,10,226,236,10,0.0,1.0,0.9576271186440678,0.0,0.0423728813559322
Fairfield,0,9,443,452,9,0.0,1.0,0.9800884955752213,0.0,0.01991150442477876
Fairmount,28,71,454,553,99,0.2828282828282828,0.7171717171717171,0.8209764918625678,0.05063291139240506,0.12839059674502712
Fawnbrook,0,133,105,238,133,0.0,1.0,0.4411764705882353,0.0,0.5588235294117647
Forest Hill,16,69,542,627,85,0.18823529411764706,0.8117647058823529,0.8644338118022329,0.025518341307814992,0.11004784688995216
Forest Hill Park,0,0,10,10,0,0.0,0.0,1.0,0.0,0.0
Forest Hill Terrace,24,53,348,425,77,0.3116883116883117,0.6883116883116883,0.8188235294117647,0.05647058823529412,0.12470588235294118
Forest View,0,35,339,374,35,0.0,1.0,0.9064171122994652,0.0,0.09358288770053476
