Name,Lead,Non-Lead,Unknown,total_points,known_points,pct_lead_total,pct_nonlead_total,pct_unknown,pct_lead_known,pct_nonlead_known,avg_year_built,count_year_samples,avg_house_age
Ancarows Landing,0,117,88,205,117,0.0,0.5707317073170731,0.4292682926829268,0.0,1.0,1927.0837438423646,203,97.91625615763542
Beaufont,0,76,392,468,76,0.0,0.1623931623931624,0.8376068376068376,0.0,1.0,1972.9698924731183,465,52.03010752688169
Belle and Mayo Islands,0,1,20,21,1,0.0,0.047619047619047616,0.9523809523809523,0.0,1.0,1923.0,11,102.0
Bellemeade,1,82,975,1058,83,0.000945179584120983,0.07750472589792061,0.9215500945179584,0.012048192771084338,0.9879518072289156,1953.2613636363637,1056,71.73863636363626
Bellevue,80,140,1114,1334,220,0.05997001499250375,0.10494752623688156,0.8350824587706147,0.36363636363636365,0.6363636363636364,1934.5252069224982,1329,90.47479307750177
Belmont Woods,0,98,56,154,98,0.0,0.6363636363636364,0.36363636363636365,0.0,1.0,1981.7,150,43.299999999999955
Belt Center,0,43,289,332,43,0.0,0.12951807228915663,0.8704819277108434,0.0,1.0,1950.3151515151515,330,74.68484848484854
Biotech and MCV District,0,87,44,131,87,0.0,0.6641221374045801,0.33587786259541985,0.0,1.0,1943.0839694656488,131,81.9160305343512
Blackwell,4,240,643,887,244,0.004509582863585118,0.2705749718151071,0.7249154453213078,0.01639344262295082,0.9836065573770492,1947.2732491389208,871,77.72675086107915
Brauers,19,16,212,247,35,0.07692307692307693,0.06477732793522267,0.8582995951417004,0.5428571428571428,0.45714285714285713,1943.418699186992,246,81.58130081300806
British Camp Farms,0,95,443,538,95,0.0,0.17657992565055763,0.8234200743494424,0.0,1.0,1958.7988826815642,537,66.20111731843576
Broad Rock,63,19,461,543,82,0.11602209944751381,0.034990791896869246,0.848987108655617,0.7682926829268293,0.23170731707317074,1940.1497227356747,541,84.85027726432531
Broad Rock Industrial Park,0,203,120,323,203,0.0,0.628482972136223,0.3715170278637771,0.0,1.0,1971.5372670807453,322,53.46273291925468
Broad Rock Sports Complex,0,43,2,45,43,0.0,0.9555555555555556,0.044444444444444446,0.0,1.0,1999.9545454545455,44,25.045454545454504
Brookbury,0,192,109,301,192,0.0,0.6378737541528239,0.36212624584717606,0.0,1.0,1991.6578073089702,301,33.34219269102982
Brookhaven Farms,0,10,160,170,10,0.0,0.058823529411764705,0.9411764705882353,0.0,1.0,1961.279761904762,168,63.720238095238074
Brookland Park,44,66,760,870,110,0.05057471264367816,0.07586206896551724,0.8735632183908046,0.4,0.6,1930.6405529953918,868,94.35944700460823
Bryan Park,0,7,23,30,7,0.0,0.23333333333333334,0.7666666666666667,0.0,1.0,1935.2,30,89.79999999999995
Byrd Park,74,72,482,628,146,0.1178343949044586,0.11464968152866242,0.767515923566879,0.5068493150684932,0.4931506849315068,1931.342356687898,628,93.65764331210198
Capitol District,0,80,54,134,80,0.0,0.5970149253731343,0.40298507462686567,0.0,1.0,1926.0277777777778,108,98.97222222222217
Carillon,13,76,370,459,89,0.02832244008714597,0.1655773420479303,0.8061002178649237,0.14606741573033707,0.8539325842696629,1952.7139737991267,458,72.28602620087327
Carver,22,205,561,788,227,0.027918781725888325,0.26015228426395937,0.7119289340101523,0.09691629955947137,0.9030837004405287,1940.2397435897435,780,84.76025641025649
Carytown,75,103,778,956,178,0.07845188284518828,0.10774058577405858,0.8138075313807531,0.42134831460674155,0.5786516853932584,1934.1603773584907,954,90.83962264150932
Cedarhurst,0,186,673,859,186,0.0,0.21653084982537835,0.7834691501746216,0.0,1.0,1970.7269544924154,857,54.273045507584584
