neighborhood,tract_id,intersection_area_m2,neighborhood_area_m2,tract_area_m2,frac_of_neighborhood,frac_of_tract
Ancarows Landing,51760060700,3507629.9829227766,3541746.1990731796,7811275.926171071,0.9903674023397467,0.4490469951484796
Ancarows Landing,51760060800,18199.433244331725,3541746.1990731796,7711586.873324584,0.005138548111972065,0.002360011440354256
Ancarows Landing,51760021100,6533.610391698972,3541746.1990731796,1552064.589931711,0.0018447426846702672,0.004209625317195364
Ancarows Landing,51760060200,1916.0535397329666,3541746.1990731796,1533732.7052554043,0.0005409912037837065,0.0012492747485709358
Beaufont,51760071001,836465.1680117305,836496.8298952092,2750170.8392499443,0.9999621494280109,0.3041502571672457
Beaufont,51760071002,31.66188347301487,836496.8298952092,2262893.7464453746,3.785057198242014e-05,1.3991767630605884e-05
Belle and Mayo Islands,51760061000,755917.0824133812,1144587.5403342883,4051070.3946906766,0.6604274952989686,0.18659687656972943
Belle and Mayo Islands,51760030500,382087.71367882733,1144587.5403342883,2403167.0645333817,0.333821311358356,0.15899340471071935
Belle and Mayo Islands,51760041300,3165.4370793250087,1144587.5403342883,3221234.1444265633,0.0027655701008247138,0.0009826783578591777
Belle and Mayo Islands,51760020500,2562.6921729419973,1144587.5403342883,1550204.3857878211,0.0022389656383936677,0.00165313180406184
Belle and Mayo Islands,51760060700,854.6149898173584,1144587.5403342883,7811275.926171071,0.0007466576034610333,0.00010940786087891704
Bellemeade,51760060700,1304073.8627161495,1306370.8450188404,7811275.926171071,0.9982417073134714,0.1669476120216099
Bellemeade,51760060800,2289.1743022215974,1306370.8450188404,7711586.873324584,0.001752315822838639,0.00029684866938867784
Bellemeade,51760060200,7.808000474166558,1306370.8450188404,1533732.7052554043,5.976863693749957e-06,5.090848260203419e-06
Bellevue,51760010200,970250.4522153952,1727423.5003073942,3948136.764527247,0.5616749176115409,0.24574894692929256
Bellevue,51760010401,757130.8540699242,1727423.5003073942,1384203.917293669,0.4383006564025516,0.546979274231669
Belmont Woods,51760070801,820012.0278125687,820031.9203137624,6647953.854469337,0.9999757417965071,0.12334803245682652
Belt Center,51760070602,774677.5777975199,888352.5803257546,2111514.6706515197,0.872038416901372,0.3668824036910379
Belt Center,51760071002,112276.10339338263,888352.5803257546,2262893.7464453746,0.12638687147417474,0.04961616230092531
Belt Center,51760070601,907.7294108103329,888352.5803257546,3492927.154365332,0.0010218120945598794,0.00025987642189327826
Belt Center,51760060500,490.25140304651393,888352.5803257546,4322746.708556418,0.0005518657950728765,0.00011341201233838507
Belt Center,51760060400,0.9183209909679215,888352.5803257546,2371762.513870002,1.0337348157768367e-06,3.871892677271041e-07
Biotech and MCV District,51760030200,503942.2370534958,518502.42068423517,1311450.9275507776,0.9719187740502249,0.38426312907844873
Biotech and MCV District,51760020400,8600.568560959133,518502.42068423517,1754081.165147273,0.016587325763319487,0.004903175937264583
Biotech and MCV District,51760020500,4330.451430052072,518502.42068423517,1550204.3857878211,0.008351844190693356,0.0027934712801443383
Biotech and MCV District,51760030100,1629.1636397247373,518502.42068423517,672682.8078433793,0.0031420559957556844,0.002421889813042547
Blackwell,51760061000,502013.0608664763,931362.7795204348,4051070.3946906766,0.5390091507897345,0.12392109046646374
Blackwell,51760060200,426010.2995944409,931362.7795204348,1533732.7052554043,0.45740533008394063,0.2777604586083986
Blackwell,51760060700,3339.419059521129,931362.7795204348,7811275.926171071,0.0035855191263286464,0.00042751262291640033
Brauers,51760020400,222000.23118104466,222003.04416249588,1754081.165147273,0.9999873290861311,0.12656212015274987
