Name,householdincome_avghinc_cy
Ancarows Landing,33300.83519043988
Beaufont,45779.54579827681
Belle and Mayo Islands,54989.48968949632
Bellemeade,32992.72334228702
Bellevue,86307.44775891601
Belmont Woods,56835.0
Belt Center,59048.30448344966
Biotech and MCV District,53953.503910040425
Blackwell,51698.72077672563
Brauers,25531.429368271463
British Camp Farms,66787.79200065121
Broad Rock,40664.480241062636
Broad Rock Industrial Park,54558.25795197454
Broad Rock Sports Complex,56899.36294028045
Brookbury,57197.28183846855
Brookhaven Farms,56789.81666163542
Brookland Park,65872.041516971
Bryan Park,84214.0
Byrd Park,87621.57924327583
Capitol District,55862.09011130721
Carillon,121311.24692977707
Carver,58026.01807189574
Carytown,94833.56732800593
Cedarhurst,67256.1142418126
Central Office,56686.0
Chamberlayne Industrial Center,56845.68923779949
Cherry Gardens,56770.0
Chimborazo,119880.72913597364
Chippenham Forest,105827.75266939831
Church Hill,105005.46193674358
Church Hill North,49881.29628921883
City Center,55309.61553409864
Cofer,56546.1365380849
Colonial Place,141810.08579551414
Commerce Road Industrial Area,48134.17917159321
Cottrell Farms,66809.8644437232
Country Club of Virginia,166091.8491992124
Creighton,25374.06437600345
Cullenwood,56770.00000000001
Davee Gardens,42090.0
Deerbourne,56770.35724173626
Eastview,24615.05357204387
Edgewood,84503.07101459529
Elkhardt,54663.0
Fairfield,24449.0
Fairmount,41204.6632720356
Fawnbrook,56835.0
Forest Hill,84463.68707593344
Forest Hill Park,70497.99104238593
Forest Hill Terrace,109447.40038370201
Forest View,129163.85679033722
Fulton,49468.6516007386
Gambles Hill,60170.96620435782
Gilpin,19530.505374894656
Ginter Park,92463.28673473556
Ginter Park Terrace,84383.48810256588
Gravel Hill,110610.70502013528
Green Park,50658.00360461943
Hickory Hill,58143.82601147915
Highland Park Southern Tip,51732.717527690096
Highland Terrace,47722.98812730995
Hillside Court,32976.0
Hioaks,45779.0
Hollywood Cemetery,47287.38542959193
Huguenot,133964.0
Jackson Ward,53540.97283975029
Jahnke,55188.43649053295
Jeff Davis,51114.03976861766
John Marshall,51698.097425418586
Laburnum Park,108583.82390952742
Magnolia Industrial Center,48850.2417038903
Malvern Gardens,121647.37731028035
Manchester,53453.86257863602
Mary Munford,143067.51512693052
Maury,32980.318339509926
Maymont,46835.88532068182
Maymont Park,87200.75460501015
McGuire,58925.521021317545
McGuire Manor,59170.25442255564
McGuire Veterans Hospital,56770.066961395954
Midlothian,50746.57571115781
Monroe Ward,56268.94879621174
Monument Avenue Park,141108.9949550655
Mosby,25531.0
Museums,58050.99999999999
Newtowne West,58037.94826078178
North Highland Park,48546.696847330815
Northern Barton Heights,64406.31020419836
Northrop,70239.29071563228
Oak Grove,49204.953030247234
Oakwood,56639.0
Oakwood Cemetery,56589.52705468705
Old Town Manchester,51890.61277687466
Oregon Hill,90437.94401756446
Oxford,105835.31159437766
Parnell Industrial Area,56319.48983358637
Peter Paul,40892.443799244546
Pine Camp,42753.44018629162
Piney Knolls,56927.92770567606
Pocoshock,54663.0
Powhite Park,66743.21139252165
Providence Park,52835.058800226725
Randolph,67909.20063905328
Reedy Creek,42884.82010289972
Rosedale,84490.91108959167
Sauer's Gardens,120860.42236671287
Scott's Addition,78974.46893191556
Sherwood Park,106202.4287172813
Shockoe Bottom,67702.12252721455
Shockoe Slip,56940.070714628244
South Garden,56906.65847895893
Southampton,133962.78872597954
Southern Barton Heights,54604.75305253705
Southwood,48793.254434100774
Stadium,109725.36924165045
Stonewall Court,212209.44484001308
Stony Point,133964.0
Stratford Hills,113611.1740839226
Swansboro,48222.97179387078
Swansboro West,43149.57653343915
Swanson,54614.76820962449
The Diamond,62392.651765014714
The Fan,100390.62800920838
The Museum District,92370.31833482296
Three Chopt,166285.096085125
Union Hill,63234.69286880322
University of Richmond,166073.0
Upper Shockoe Valley,39829.54846531332
VCU,48632.607735748075
Virginia Union,68895.24609562822
Walmsley,57901.69796813494
Warwick,54594.80641450022
Washington Park,42438.47813603193
Westhampton,212233.07440920497
Westlake Hills,66851.0
Westover,57782.84953340432
Westover Hills,133283.0439575574
Westover Hills West,77815.50309007343
Whitcomb,26427.983696829204
Willow Oaks,117554.16284109913
Willow lawn,166963.03551081475
Wilton,301469.20574973256
Windsor,41821.5704631553
Windsor Farms,300494.3147111611
Woodhaven,48737.0
Woodland Heights,66897.53743086015
Woodville,36592.451504403456
Worthington,54649.454620705794
